529.779.519-20    SC510102SC      14230 14230 NF  1  14/08/2009N             1407,60               12,00N                0,00                0,00                0,00             1407,60                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
10.255.946/0001-52RJ610102SC      14231 14231 NF  1  14/08/2009S              367,92               12,00N                0,00                0,00                0,00              367,92                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
56.501.695/0001-40SP610102SC      14232 14232 NF  1  14/08/2009S              235,20               12,00N                0,00                0,00                0,00              235,20                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
06.296.154/0001-59PR610102SC      14233 14233 NF  1  14/08/2009S              102,00               12,00N                0,00                0,00                0,00              102,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
54.863.410/0001-95SP610102SC      14234 14234 NF  1  14/08/2009S              178,50               12,00N                0,00                0,00                0,00              178,50                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
025.536.539-05    CE610102SC      14235 14235 NF  1  14/08/2009N              105,00               12,00N                0,00                0,00                0,00              105,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
07.714.437/0001-36PR610102SC      14236 14236 NF  1  17/08/2009S             1642,20               12,00N                0,00                0,00                0,00             1642,20                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
73.697.443/0001-57SC510102SC      14237 14237 NF  1  17/08/2009S              102,00               12,00N                0,00                0,00                0,00              102,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
04.004.986/0001-29MG610102SC      14238 14238 NF  1  17/08/2009S              345,00               12,00N                0,00                0,00                0,00              345,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
93.209.765/0006-21RS610102SC      14239 14239 NF  1  17/08/2009S              311,28               12,00N                0,00                0,00                0,00              311,28                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
778.065.577-68    PE610102SC      14240 14240 NF  1  18/08/2009N              175,50               12,00N                0,00                0,00                0,00              175,50                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
01.511.761/0001-70SC510102SC      14241 14241 NF  1  18/08/2009S               51,00               12,00N                0,00                0,00                0,00               51,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                0,00                                            xxxx01
