1101-ACR                    10,00 01/09/2009 *** 23977; 
J1-150X150PR                20,00 21/09/2009 *** 24636; 24647; 
J3-300X150PR                20,00 21/09/2009 *** 24636; 24647; 
J1-120X150BC                50,00 21/09/2009 *** 24636; 24647; 
J3-200X150PR                20,00 21/09/2009 *** 24636; 24647; 
J3-160X150BC                40,00 21/09/2009 *** 24636; 24647; 
J1-150X120PR                20,00 21/09/2009 *** 24636; 
J1-120X150NF                30,00 21/09/2009 *** 24636; 24647; 
P1-160X210BC                20,00 21/09/2009 *** 24636; 24647; 
P1-160X210NF                10,00 21/09/2009 *** 24636; 24647; 
P1-160X210PR                10,00 21/09/2009 *** 24636; 24647; 
P3-180X210BC                20,00 21/09/2009 *** 24636; 24647; 
P3-180X210NF                10,00 21/09/2009 *** 24636; 24647; 
P3-180X210PR                10,00 21/09/2009 *** 24636; 24647; 
P3-240X210BC                20,00 21/09/2009 *** 24636; 24647; 
P3-240X210NF                10,00 21/09/2009 *** 24636; 24647; 
P3-240X210PR                10,00 21/09/2009 *** 24636; 24647; 
P3-300X210PR                 5,00 21/09/2009 *** 24647; 
P3-300X300BC                20,00 21/09/2009 *** 24636; 24647; 
P3-300X300NF                10,00 21/09/2009 *** 24636; 24647; 
P3-300X300PR                 5,00 21/09/2009 *** 24636; 
1115PR                       5,00 22/09/2009 *** 24427; 
1710BC                      34,00 22/09/2009 *** 22379; 
1710CR                      60,00 22/09/2009 *** 22379; 24812; 
1710PR                       9,00 22/09/2009 *** 22379; 24812; 
1710VD                      55,00 22/09/2009 *** 22379; 24812; 
1510NF                       5,00 22/09/2009 *** 24427; 
1101-ANF                     8,00 22/09/2009 *** 24427; 
AL1034-SPR                   1,00 22/09/2009 *** 24217; 
1650NF                      30,00 22/09/2009 *** 24427; 24077; 
1650PR                      55,00 22/09/2009 *** 24427; 24077; 
1013PR                      85,00 22/09/2009 *** 24427; 24741; 24881; 
1115NF                      10,00 22/09/2009 *** 24427; 
AL1027-ABZ                   4,00 23/09/2009 *** 24727; 
AL1034-RBZ                   2,00 23/09/2009 *** 24727; 
AL1037-BBC                   1,00 23/09/2009 *** 24725; 
AL1022-RBZ                   2,00 23/09/2009 *** 24727; 
